script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades,w3_roi,w3_trades,w4_roi,w4_trades
arbitrage-detector-luxalgo,editors_picks,OK,5,5,0.0,-15.891654170312464,7.287586765949859,-25.793582382812396,-3.1269502812499996,-2.986350091579254,1.006952634767107,38.888888888888886,0.15,0,-25.793582382812396,72,-17.818655609374954,15,-15.908107242187514,8,-3.1269502812499996,4,-16.81097533593746,58
arbitrage-matrix-luxalgo,editors_picks,OK,5,4,0.6,11.019180947265623,13.566640400965012,-5.660175789062501,28.4188700390625,0.806952018975272,1.2488342355658864,41.666666666666664,0.3850959047363281,0,19.462575585937504,3,1.8554539531249903,2,28.4188700390625,2,0,0,-5.660175789062501,2
breakouts-pullbacks-trendoscope,editors_picks,OK,5,1,0.0,-10.495199945312503,0,-10.495199945312503,-10.495199945312503,-1.7841645342436703,0,25.0,0.03,0,-10.495199945312503,8,0,0,0,0,0,0,0,0
htf-floating-candles-w-volume-footprint-theultimator5,editors_picks,OK,5,5,0.6,-4.770753098437517,15.546542795221486,-33.19527710156253,10.117668804687506,-1.0185436435533721,2.07875618620277,59.96645999671248,0.36,0,-33.19527710156253,57,7.185850335937459,46,-8.143245898437513,14,0.18123836718749953,7,10.117668804687506,59
hyperfork-matrix,editors_picks,OK,5,5,0.6,-4.824897579687514,15.569883398580684,-33.33000185156253,9.981671148437512,-1.02813678386299,2.0928497719394796,59.879417434140066,0.36,0,-33.33000185156253,58,7.185850335937459,46,-8.143245898437513,14,0.18123836718749953,7,9.981671148437512,60
mad-gann-o-maticus,editors_picks,OK,5,4,0.6,10.677574134765623,13.365447061499392,-5.660175789062501,28.4188700390625,0.773457683876083,1.2274577896646643,37.5,0.3833878706738281,0,18.0961483359375,2,1.8554539531249903,2,28.4188700390625,2,0,0,-5.660175789062501,2
match-finder-theultimator5,editors_picks,OK,5,3,0.0,-14.650818610677035,7.9913251858970185,-25.93288181640615,-8.436895476562482,-1.9823587055771812,1.712092060300605,39.375,0.09,0,-25.93288181640615,32,-8.436895476562482,5,0,0,-8.509022828125001,0,-9.582678539062472,10
smart-trader-concentric-candles-aristotelian-cycloids,editors_picks,OK,5,5,0.2,-8.82659009374998,11.72044877822465,-25.836169718749968,10.035065117187536,-1.684499578324721,1.586174146611954,39.72649572649573,0.21999999999999997,0,-25.836169718749968,30,-4.284371203125003,9,-12.607478765624968,9,-11.439995898437497,1,10.035065117187536,39
smart-trader-episode-03-candles-and-tradelines,editors_picks,OK,5,3,0.4,15.299129303385412,13.672761862749192,-3.1665169921875056,29.500005953125,1.0684382289835634,1.1815959287586923,33.333333333333336,0.30649564651692707,0,19.56389894921874,4,0,0,29.500005953125,2,0,0,-3.1665169921875056,2
tasc-202604-a-synthetic-oscillator,editors_picks,OK,5,4,0.4,-4.6108579921874995,15.349574942685084,-22.708691968750006,13.979958906250001,-1.3013787020846506,2.4353110547742,37.05357142857143,0.26,0,6.743646625000009,8,-16.45834553125,4,13.979958906250001,7,2.9271441015625026,0,-22.708691968750006,7
trend-line-methods-tlm,editors_picks,OK,5,2,0.0,-21.07799197656248,6.772777984375003,-27.850769960937484,-14.305213992187477,-2.5998077047684385,1.2432949380713667,37.5,0.06,0,0,0,-14.305213992187477,2,0,0,-3.229514218750002,0,-27.850769960937484,4
directional-movement-index-dmi,momentum,OK,5,4,0.6,5.213174711914067,12.786555978754361,-13.897665960937491,22.01077043749999,0.46095030102949425,1.3300351394527519,55.35714285714286,0.3560658735595703,0,7.770698808593749,4,4.968895562500023,7,22.01077043749999,4,0,0,-13.897665960937491,2
ema14chanut,momentum,OK,5,4,0.4,8.191333181640625,15.356858990871547,-12.200482875000002,25.97607532812502,0.3466595913216735,1.567260282742714,35.089285714285715,0.30095666590820314,0,19.688270937499983,7,-12.200482875000002,5,25.97607532812502,5,0,0,-0.6985306640625059,8
macd-scalper,momentum,OK,5,1,0.0,-0.8563136640625015,0,-0.8563136640625015,-0.8563136640625015,-0.35767160413807636,0,0.0,0.03,0,21.134012132812497,0,0,0,0,0,0,0,-0.8563136640625015,1
mag7-real-time-impact-on-nq-breadth-alerts-mag-state,momentum,OK,5,3,0.2,-3.3593131627604222,21.33390662254222,-29.27106753125001,22.980849464843747,-1.4452557057122812,2.747627278573672,0.0,0.15999999999999998,0,22.980849464843747,1,-3.787721421875002,1,34.88007985937499,0,0,0,-29.27106753125001,1
market-internals-dashboard-add-tick-vold,momentum,OK,5,5,0.6,-4.824897579687514,15.569883398580684,-33.33000185156253,9.981671148437512,-1.02813678386299,2.0928497719394796,59.879417434140066,0.36,0,-33.33000185156253,58,7.185850335937459,46,-8.143245898437513,14,0.18123836718749953,7,9.981671148437512,60
nexous-cl-quantum-pulse-alpha-lorentzian-probabilistic-engin,momentum,OK,5,1,0.0,-4.672877570312499,0,-4.672877570312499,-4.672877570312499,-0.7102830662071148,0,0.0,0.03,0,25.120752703125003,0,-4.672877570312499,1,0,0,0,0,3.852337531249999,0
predictive-moving-average-convergence-divergence-ryder,momentum,OK,5,4,0.2,-2.0804581816406205,15.01900034088638,-17.601475304687483,21.704306707031268,-0.8227203530395871,1.7983739367991234,43.39285714285714,0.19,0,21.704306707031268,4,-17.601475304687483,5,-0.6661753749999916,2,2.9271441015625026,0,-11.758488753906276,7
prev-day-high-low-close-continuing-trend,momentum,OK,5,5,0.2,-15.489609690624993,13.498548182418252,-34.96303565625,4.750786726562495,-3.2397122505442297,2.6058237819439034,28.979139218269655,0.21999999999999997,0,-24.588154492187385,88,4.750786726562495,18,-12.852705460937564,18,-9.794939570312518,5,-34.96303565625,23
quant-professional,momentum,OK,5,4,0.4,3.739408626953133,11.344727684841365,-9.22941296875001,21.438936046875025,0.23950071773710468,1.1569500821652123,32.65151515151515,0.2786970431347656,0,21.438936046875025,12,-9.22941296875001,5,4.702568273437515,6,4.399802789062495,0,-1.9544568437499983,11
range-asianlondonpre-usa-by-frednat,momentum,OK,5,4,0.0,-16.268894935546864,6.489680784781993,-24.220893562499988,-7.304641515625016,-1.968018819813127,0.6996114241610919,15.416666666666666,0.12,0,-20.264963257812457,16,-13.285081406249999,4,-7.304641515625016,5,-8.509022828125001,0,-24.220893562499988,6
rhokeo-vw-rsi-histogram-for-cumulative-delta-by-zeiirman,momentum,OK,5,1,0.2,0.5369939375000103,0,0.5369939375000103,0.5369939375000103,0.0926045544804192,0,100.0,0.35268496968750007,0,0,0,-5.8860492187500055,0,0,0,0,0,0.5369939375000103,1
stelarax-momentum,momentum,OK,5,4,0.4,3.7846139765625058,17.45600134133384,-14.670862273437479,21.596555929687486,-0.3823186452728883,2.0431824038115325,30.248917748917748,0.2789230698828125,0,21.596555929687486,6,-12.638334210937494,7,20.85109646093751,6,0,0,-14.670862273437479,11
tuoppi-entries,momentum,OK,5,3,0.2,-0.18769076041666347,14.171901589430172,-10.337608968749992,19.853849859374996,-0.9104477309428348,1.674214238950862,33.333333333333336,0.15999999999999998,0,-17.833892273437492,0,-10.337608968749992,1,-10.079313171874995,1,4.399802789062495,0,19.853849859374996,1
vp-rsi,momentum,OK,5,4,0.8,15.8874735546875,5.527837169823225,9.557284640625003,23.454827765625,1.061151571644762,0.39714355098762016,32.08333333333333,0.6301514800265324,0,9.557284640625003,5,18.74211021093749,4,23.454827765625,4,0,0,11.7956716015625,3
xauusd-volume-profile-elite-nexous-cl,momentum,OK,5,5,0.2,-5.3603758765625,10.150775220491514,-15.870936960937513,12.220235542968775,-1.2326209413903497,1.769805745654995,24.882154882154886,0.21999999999999997,0,12.220235542968775,22,-10.717440101562504,18,-15.870936960937513,6,-0.49515162499999865,1,-11.938586238281262,27
10ema-strategy-indicator,moving_averages,OK,5,5,0.6,-2.200657926562495,18.407534910497528,-25.136442101562483,19.30104832031249,-0.8303408831663759,2.1027427996910233,48.92857142857143,0.36,0,-25.136442101562483,8,13.789400296874998,10,-22.597201671874995,3,3.6399055234375117,3,19.30104832031249,14
