script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
arbitrage-detector-luxalgo,editors_picks,OK,3,3,0.0,-21.932174677224907,10.485373660240331,-36.72661418899769,-13.664316740654423,-4.630160492115691,3.666612383555875,39.054976387775106,0.15,0,-13.664316740654423,75,-36.72661418899769,58,-15.405593102022614,86
arbitrage-matrix-luxalgo,editors_picks,OK,3,2,0.0,-2.5535133121330658,1.9792681821620282,-4.532781494295094,-0.5742451299710374,-0.5592535863881314,0.4612772775196048,33.33333333333333,0.09999999999999999,0,-0.5742451299710374,3,3.3435555935640586,0,-4.532781494295094,3
htf-floating-candles-w-volume-footprint-theultimator5,editors_picks,OK,3,3,0.0,-20.0827833987797,15.81423511800548,-42.44734603975737,-8.831205904686678,-3.315242387205391,3.179611168163633,39.7528854260546,0.15,0,-8.831205904686678,55,-42.44734603975737,53,-8.96979825189506,59
hyperfork-matrix,editors_picks,OK,3,3,0.0,-20.14869529986873,15.348044265516444,-41.82161150085257,-8.284024345329803,-3.2594902161104593,3.0213986007507336,38.106204161841596,0.15,0,-8.284024345329803,56,-41.82161150085257,46,-10.340450053423817,59
mad-gann-o-maticus,editors_picks,OK,3,2,0.0,-2.5535133121330658,1.9792681821620282,-4.532781494295094,-0.5742451299710374,-0.5592535863881314,0.4612772775196048,33.33333333333333,0.09999999999999999,0,-0.5742451299710374,3,3.3435555935640586,0,-4.532781494295094,3
match-finder-theultimator5,editors_picks,OK,3,2,0.6666666666666666,11.40242503460771,2.096452938756477,9.305972095851233,13.498877973364188,1.4163959160019055,0.25826125968209757,53.97727272727273,0.5757801435858475,0,13.498877973364188,11,0,0,9.305972095851233,8
smart-trader-concentric-candles-aristotelian-cycloids,editors_picks,OK,3,3,0.0,-16.492001255264906,16.143994678366838,-39.30863832523005,-4.38107979129297,-2.5793325919174257,2.843997445915261,40.216503267973856,0.15,0,-4.38107979129297,32,-39.30863832523005,24,-5.786285649271696,34
smart-trader-episode-03-candles-and-tradelines,editors_picks,OK,3,2,0.0,-6.06619227796037,1.5782276248035125,-7.644419902763882,-4.487964653156857,-1.7248721937879665,0.5196504513814566,0.0,0.09999999999999999,0,-4.487964653156857,2,0,0,-7.644419902763882,3
tasc-202604-a-synthetic-oscillator,editors_picks,OK,3,3,0.6666666666666666,0.9974933010228902,6.7601205839340155,-8.25166333202373,7.716987283395269,0.22722385902322328,1.191153586467536,56.031746031746025,0.38832079983844775,0,-8.25166333202373,10,7.716987283395269,9,3.5271559516971323,7
trend-line-methods-tlm,editors_picks,OK,3,1,0.3333333333333333,11.941759858906618,0,11.941759858906618,11.941759858906618,1.8056816313173971,0,100.0,0.47637546596119973,0,-8.02396538831976,0,6.146144872382691,0,11.941759858906618,2
directional-movement-index-dmi,momentum,OK,3,3,0.3333333333333333,-0.418575386372225,2.940000389373461,-2.6686133310595905,3.734380238194295,0.1278886572703787,0.7312759286544804,57.142857142857146,0.3338476845030466,0,-2.3214930662513797,5,3.734380238194295,5,-2.6686133310595905,7
ema14chanut,momentum,OK,3,3,0.3333333333333333,-0.7117059723182942,14.53528378318153,-13.996529318541942,19.51550652675904,-0.8540196942846866,2.518494223602888,31.060606060606062,0.26666666666666666,0,-7.654095125171982,12,19.51550652675904,6,-13.996529318541942,11
macd-scalper,momentum,OK,3,1,0.0,-2.049497941513153,0,-2.049497941513153,-2.049497941513153,-0.33076177457217876,0,0.0,0.049999999999999996,0,-7.795583582625768,0,9.731730393235893,0,-2.049497941513153,1
mag7-real-time-impact-on-nq-breadth-alerts-mag-state,momentum,OK,3,2,0.0,-6.780789740115827,0.5970538191480301,-7.377843559263857,-6.183735920967797,-1.0088200136546934,0.1503038690744502,0.0,0.09999999999999999,0,-7.377843559263857,1,16.77167158944212,0,-6.183735920967797,2
market-internals-dashboard-add-tick-vold,momentum,OK,3,3,0.0,-20.14869529986873,15.348044265516444,-41.82161150085257,-8.284024345329803,-3.2594902161104593,3.0213986007507336,38.106204161841596,0.15,0,-8.284024345329803,56,-41.82161150085257,46,-10.340450053423817,59
nexous-cl-quantum-pulse-alpha-lorentzian-probabilistic-engin,momentum,OK,3,1,0.0,-4.258277482732228,0,-4.258277482732228,-4.258277482732228,-0.5882833006886228,0,0.0,0.049999999999999996,0,-4.258277482732228,1,6.7000425749836,0,2.7453420236819075,0
predictive-moving-average-convergence-divergence-ryder,momentum,OK,3,3,0.3333333333333333,-1.7681417957974626,3.4920651624699177,-6.397093902339329,2.036763875036908,-0.2164585043343629,0.8026261523857947,44.84126984126984,0.26666666666666666,0,-6.397093902339329,6,2.036763875036908,4,-0.9440953600899665,7
prev-day-high-low-close-continuing-trend,momentum,OK,3,3,0.0,-26.39678663693462,15.962062766293025,-48.89011837999121,-13.50127512217,-4.979814536065143,4.0909792244692245,35.47311827956989,0.15,0,-13.50127512217,87,-48.89011837999121,100,-16.798966408642663,93
quant-professional,momentum,OK,3,3,0.3333333333333333,-2.0769594337327146,6.786890444177136,-9.075204616714268,7.1108577462424,-0.6198975807001735,1.4669333545327756,37.36596736596737,0.26666666666666666,0,-4.266531430726275,13,7.1108577462424,11,-9.075204616714268,10
range-asianlondonpre-usa-by-frednat,momentum,OK,3,3,0.3333333333333333,-10.043179504505101,14.31517740789821,-30.245938042634705,1.1864138031722542,-1.460052210060556,2.0803353207777247,24.716553287981856,0.26666666666666666,0,-1.0700142740528535,21,-30.245938042634705,49,1.1864138031722542,9
rhokeo-vw-rsi-histogram-for-cumulative-delta-by-zeiirman,momentum,OK,3,1,0.3333333333333333,7.234336733421048,0,7.234336733421048,7.234336733421048,0.810064415606442,0,100.0,0.4528383503337719,0,-2.109807097393539,0,0,0,7.234336733421048,2
squeezeintraday-scalps,momentum,OK,3,3,0.6666666666666666,-2.067268173981239,8.561116881458807,-14.06715845190265,5.3258956755141265,-0.034275595754971744,1.7184211858043166,50.0,0.3833333333333333,0,-14.06715845190265,1,5.3258956755141265,1,2.539458254444806,2
stelarax-momentum,momentum,OK,3,3,0.3333333333333333,1.5462574421182804,20.577603730689347,-13.793216376465322,30.63285850498451,-0.7745470020709774,2.9156953925258913,37.96296296296296,0.27439795387725807,0,-12.20086980216435,9,30.63285850498451,3,-13.793216376465322,12
tuoppi-entries,momentum,OK,3,2,0.3333333333333333,-3.0293705639175528,12.502913928535671,-15.532284492453224,9.473543364618118,-1.4773145667513805,2.485351730319472,50.0,0.21666666666666665,0,9.473543364618118,1,-15.532284492453224,6,1.815870924316405,0
vp-rsi,momentum,OK,3,3,0.3333333333333333,-2.0755770706235057,2.893571864131405,-6.0393979966481135,0.7868048281244554,-0.4194270258353013,0.39214808390993716,11.111111111111109,0.26666666666666666,0,0.7868048281244554,6,-0.9741380433468585,1,-6.0393979966481135,6
xauusd-volume-profile-elite-nexous-cl,momentum,OK,3,3,0.3333333333333333,-2.205058308141456,10.745500189635424,-11.841851874710482,12.789183344473699,-0.43239210521434973,1.6993068737432317,46.07936507936508,0.26666666666666666,0,-11.841851874710482,24,12.789183344473699,25,-7.562506394187585,21
10ema-strategy-indicator,moving_averages,OK,3,3,0.6666666666666666,6.139930852929616,7.899430191178137,-2.1078057557527794,16.789335659604944,0.751201341143095,0.9520342076860185,75.45787545787546,0.42602443567647674,0,-2.1078057557527794,14,16.789335659604944,1,3.7382626549366833,13
15-sma-trend-friend-mtf,moving_averages,OK,3,3,0.3333333333333333,-6.098387576676958,7.063398875330603,-13.831385621820926,3.2442379449253496,-1.2847873571830943,1.5126040755506331,35.707070707070706,0.26666666666666666,0,-13.831385621820926,12,3.2442379449253496,5,-7.708015053135299,11
24k-scalp-trigger-ema-engulfing,moving_averages,OK,3,2,0.3333333333333333,0.27145007298749224,6.5709063388078865,-6.299456265820394,6.842356411795379,-0.1310127646669314,0.8458351280951151,42.2077922077922,0.21802391703160412,0,6.842356411795379,7,5.5422636131678,0,-6.299456265820394,11
5-ema-strategy,moving_averages,OK,3,3,0.3333333333333333,-3.4810197584813003,3.3428471393459764,-6.61148204064116,1.1521251559193915,-0.41670098304445496,0.4478230268436571,72.22222222222221,0.26666666666666666,0,-6.61148204064116,3,1.1521251559193915,6,-4.98370239072213,2
5-zerolag,moving_averages,OK,3,3,0.0,-7.038171261872239,4.744456430771501,-12.442543827731512,-0.892241650488184,-1.775636699513143,1.0322292075355497,26.984126984126977,0.15,0,-12.442543827731512,7,-0.892241650488184,3,-7.779728307397018,6
512-ema-cross-signals,moving_averages,OK,3,3,0.3333333333333333,0.8505027069996913,15.69102833259614,-13.432478866948369,22.69947061345949,-0.6109800546146288,2.494482807321373,19.166666666666668,0.2709191802016651,0,-6.7154836255120465,5,22.69947061345949,4,-13.432478866948369,8
9-ema-intraday-hybrid-trend-flip,moving_averages,OK,3,3,0.3333333333333333,-13.5377962010974,11.28158246001375,-22.52262674229541,2.37240209917078,-2.4727347682545466,1.9972806765792945,28.36206896551724,0.26666666666666666,0,-20.46316396016757,29,2.37240209917078,24,-22.52262674229541,30
920-mid-day-ma-50-filtered,moving_averages,OK,3,2,0.3333333333333333,-2.8516596663282545,7.918377921773136,-10.77003758810139,5.066718255444881,-0.639386826721176,1.3460861987730945,6.25,0.21666666666666665,0,5.066718255444881,1,4.061262931216436,0,-10.77003758810139,8
adaptive-centric-moving-average-luxalgo,moving_averages,OK,3,2,0.0,-5.944670759422639,0.8148128159447587,-6.759483575367398,-5.12985794347788,-1.396320591791211,0.005486015278823753,0.0,0.09999999999999999,0,-5.12985794347788,2,25.913464405142978,0,-6.759483575367398,3
adaptive-momentum-trend-arbitrex-trader,moving_averages,OK,3,1,0.0,-4.754216082901505,0,-4.754216082901505,-4.754216082901505,-0.8033299884858962,0,0.0,0.049999999999999996,0,-4.754216082901505,1,13.542988008677783,0,0,0
alg0-hal0-crypto-rvwap,moving_averages,OK,3,2,0.0,-3.1817250068588327,1.0237608434089198,-4.205485850267753,-2.157964163449913,-1.2073171822038455,0.5000804259783795,0.0,0.09999999999999999,0,-2.157964163449913,1,0.5114431140823872,0,-4.205485850267753,3
algov2,moving_averages,OK,3,3,0.0,-9.969255407644475,3.6026437928931583,-12.872208574208402,-4.891732681211579,-2.0205943952677026,0.26929759995135627,44.17805928940606,0.15,0,-12.872208574208402,46,-4.891732681211579,37,-12.143824967513444,41
ali-binay-40-robot,moving_averages,OK,3,3,0.6666666666666666,-1.0448283195946668,9.627845390006573,-14.19899731724216,8.576757577948316,-0.9052231236714309,2.2051467615803055,46.42857142857142,0.3833333333333333,0,8.576757577948316,7,-14.19899731724216,4,2.487754780509844,7
boabias-multi-timeframe-ema-analysis,moving_averages,OK,3,2,0.0,-5.717036870129283,0.45603931486800864,-6.173076184997291,-5.260997555261274,-1.7365908724750352,0.15786495527064348,0.0,0.09999999999999999,0,-6.173076184997291,3,0,0,-5.260997555261274,4
breakout-signals-donchian-200-ema-volume-atr-easier-stoc,moving_averages,OK,3,2,0.3333333333333333,0.5948804849736335,2.654684974690914,-2.0598044897172803,3.2495654596645474,0.01066047342483209,0.3273154626327497,45.833333333333336,0.3878122034333474,0,3.2495654596645474,2,18.61669393630793,0,-2.0598044897172803,12
buy-sell-signal-msriniv,moving_averages,OK,3,3,0.0,-7.507683558670474,5.244958928999138,-12.123363414839682,-0.17132338608580178,-1.0601860499139666,0.7307123172133524,27.597402597402596,0.15,0,-10.228363875085938,11,-0.17132338608580178,4,-12.123363414839682,14
buying-vs-selling-moving-averages-scalp-meter,moving_averages,OK,3,3,0.3333333333333333,1.1973348459126332,15.458171601525382,-10.487570190132304,23.040720137285142,-0.28664846662380233,2.3225895904680094,29.62962962962963,0.27265334089622983,0,-10.487570190132304,9,23.040720137285142,3,-8.961145409414938,10
candle-body-momentum-ukutalabs,moving_averages,OK,3,3,0.3333333333333333,-0.9544563576143847,7.029095461576976,-6.908062322077356,8.916417013500308,0.03104841030654019,1.9572533241337593,35.18518518518518,0.26666666666666666,0,-4.871723764266106,9,8.916417013500308,4,-6.908062322077356,9
clean-ema-cross-continuation-tabs-only,moving_averages,OK,3,2,0.3333333333333333,3.1421242631625566,6.589532840248524,-3.4474085770859677,9.73165710341108,0.2222951030208833,0.6876052458194326,47.77777777777778,0.31047597652762127,0,9.73165710341108,5,23.585684436795145,0,-3.4474085770859677,9
confluence-buysell-sub-30min,moving_averages,OK,3,1,0.0,-4.143766576455644,0,-4.143766576455644,-4.143766576455644,-1.8212317450570794,0,0.0,0.049999999999999996,0,-4.143766576455644,2,0,0,0,0
crossover-strategy-multi-timeframe-no-repaint,moving_averages,OK,3,2,0.0,-4.019650719032929,3.6247691837309537,-7.644419902763882,-0.3948815353019745,-1.1551506131459908,1.0893720320234324,25.0,0.09999999999999999,0,-0.3948815353019745,2,0,0,-7.644419902763882,3
crypto-918-momentum-pullback-highlight-ema,moving_averages,OK,3,2,0.0,-5.166397037531068,4.771515502229093,-9.93791253976016,-0.3948815353019745,-1.4522094074185428,1.3864308262959844,25.0,0.09999999999999999,0,-0.3948815353019745,2,12.327381267233868,0,-9.93791253976016,4
cumulative-displacement-moving-average,moving_averages,OK,3,3,0.0,-14.388786301593365,13.009197134914416,-32.77888670540213,-4.733333562801258,-3.0674722536006342,3.4733142201061824,37.136752136752136,0.15,0,-4.733333562801258,30,-32.77888670540213,13,-5.65413863657671,40
customized-double-bollinger-bands-wjdtks255,moving_averages,OK,3,3,1.0,4.2084126158681565,1.4647086602665593,2.5284269010118003,6.0978306433769465,1.1946942483108884,0.877783902269772,83.33333333333333,0.5515960875118978,0,2.5284269010118003,3,3.9989803032157214,3,6.0978306433769465,6
daily-bias-visual-pro-fran-pineda,moving_averages,OK,3,1,0.3333333333333333,35.14087459416714,0,35.14087459416714,35.14087459416714,1.8187908026588622,0,0.0,0.5923710396375024,0,-1.3834427811863135,0,35.14087459416714,1,-3.6947108908115625,0
daily-bullish-bearish-status-table,moving_averages,OK,3,3,0.0,-4.478032142542754,3.366684042488507,-8.773398308811316,-0.5515252102945087,-1.3047750602752348,1.3473384661933352,33.9584896224056,0.15,0,-0.5515252102945087,31,-8.773398308811316,3,-4.109172908522436,43
daily-weekly-bullish-bearish-status-table,moving_averages,OK,3,3,0.0,-4.478032142542754,3.366684042488507,-8.773398308811316,-0.5515252102945087,-1.3047750602752348,1.3473384661933352,33.9584896224056,0.15,0,-0.5515252102945087,31,-8.773398308811316,3,-4.109172908522436,43
directional-sma-trend-line,moving_averages,OK,3,3,0.3333333333333333,-2.0755770706235057,2.893571864131405,-6.0393979966481135,0.7868048281244554,-0.4194270258353013,0.39214808390993716,11.111111111111109,0.26666666666666666,0,0.7868048281244554,6,-0.9741380433468585,1,-6.0393979966481135,6
ema-1020,moving_averages,OK,3,2,0.0,-5.044594276210155,3.1865239710175888,-8.231118247227744,-1.8580703051925667,-0.7621480745683611,0.5137745528282411,8.333333333333332,0.09999999999999999,0,-1.8580703051925667,4,0,0,-8.231118247227744,6
ema-20-ema-50-touch-alert,moving_averages,OK,3,2,0.3333333333333333,1.2171556637068277,3.1503527773896787,-1.9331971136828507,4.367508441096506,0.1132029546852687,0.4155342338825116,40.87301587301587,0.36886888651457284,0,4.367508441096506,7,12.327381267233868,0,-1.9331971136828507,18
ema-2050-optimal-distance-m15,moving_averages,OK,3,2,0.0,-3.2456794434448386,2.2536995021225743,-5.499378945567413,-0.9919799413222645,-0.5812796141067579,0.31843017233246795,0.0,0.09999999999999999,0,-5.499378945567413,1,13.842843098949292,0,-0.9919799413222645,1
ema-5-13-20-signal-with-candle-filter-dashboard,moving_averages,OK,3,3,0.3333333333333333,-4.991565394233878,4.515317134047774,-9.837881325677648,1.0325715565716238,-0.6000139510020017,0.7758947995920035,11.111111111111109,0.26666666666666666,0,-6.1693864135956105,6,1.0325715565716238,2,-9.837881325677648,8
ema-9-20-auto-strategy,moving_averages,OK,3,2,0.0,-8.026701368407185,5.075432024802095,-13.10213339320928,-2.9512693436050905,-1.3247948380554675,0.9076484422966741,0.0,0.09999999999999999,0,-2.9512693436050905,4,0,0,-13.10213339320928,6
ema-912-momentum-cross-jrosario,moving_averages,OK,3,3,0.3333333333333333,5.889816592458622,16.9536541895637,-9.977952973723585,29.389690014723037,0.1935033923128704,2.2549000904623533,50.0,0.29611574962895976,0,-1.7422872636235844,2,29.389690014723037,1,-9.977952973723585,4
ema-921-rsi-exit-by-sandeep,moving_averages,OK,3,2,0.0,-7.575016057559594,5.527117335649686,-13.10213339320928,-2.0478987219099074,-1.2544983070743816,0.9779449732777599,0.0,0.09999999999999999,0,-2.0478987219099074,4,0,0,-13.10213339320928,6
ema-921-shading-only,moving_averages,OK,3,2,0.0,-7.575016057559594,5.527117335649686,-13.10213339320928,-2.0478987219099074,-1.2544983070743816,0.9779449732777599,0.0,0.09999999999999999,0,-2.0478987219099074,4,0,0,-13.10213339320928,6
ema-atr-pro-ultimate-engine,moving_averages,OK,3,2,0.0,-3.685931816199452,2.476847001160313,-6.162778817359765,-1.2090848150391393,-0.7748793285905404,0.3698695631359172,25.0,0.09999999999999999,0,-6.162778817359765,2,11.246138591427677,0,-1.2090848150391393,1
ema-cloud-alerts,moving_averages,OK,3,2,0.0,-5.0384814276596375,0.6480674886492128,-5.68654891630885,-4.390413939010425,-1.3593081523428074,0.18531802792475682,0.0,0.09999999999999999,0,-4.390413939010425,2,0,0,-5.68654891630885,3
ema-cloud-orb-dash,moving_averages,OK,3,2,0.0,-5.365861718237676,3.108324325236506,-8.474186043474182,-2.2575373930011704,-1.5961068030282033,0.9712222481305122,0.0,0.09999999999999999,0,-2.2575373930011704,1,3.9206000199153204,0,-8.474186043474182,3
ema-clouds-jb-style,moving_averages,OK,3,3,0.3333333333333333,-2.9049510406456776,3.639083258957704,-6.358956455854524,2.126106053953656,-1.5507482722005097,1.8776984197079138,16.666666666666668,0.26666666666666666,0,-6.358956455854524,2,2.126106053953656,2,-4.482002720036165,2
